organizations ,type,abbreviation,collaboration,foundingYear,verified,participation,address1,address2,city,state,zip,address1DC,address2DC,cityDC,stateDC,zipDC,lobby,scope,about,website,twitter,facebook,linkedIn,accounts,youTube
National Defense Industrial Association,NGO,,,,,"TAP, Innovation Imperative",2111 Wilson Blvd,Ste 400,Arlington,VA,22201,,,,,,501(c)(3),,NDIA is America’s leading Defense Industry association promoting national security.,http://www.ndia.org/Pages/default.aspx,https://twitter.com/NDIAToday,https://www.facebook.com/NDIAMembership,https://www.linkedin.com/company/national-defense-industrial-association,,https://www.youtube.com/user/NDIAToday
National Disability Rights Network,NGO,,,,,NDD,820 1St St Ne Ste 740 ,,Washington,DC,20002-8051,,,,,,501(c)(3),,"The National Disability Rights Network (NDRN) works to improve the lives of people with disabilities by guarding against abuse; advocating for basic rights; and ensuring accountability in health care, education, employment, housing, transportation, and within the juvenile and criminal justice systems. Founded 1980. ",http://www.ndrn.org/index.php,https://twitter.com/NDRNadvocates,https://www.facebook.com/NDRNadvocates/,,,https://www.youtube.com/user/NDRNadvocates
National Down Syndrome Congress,NGO,,,,,FNICHD,30 Mansell Ct Ste 108,,Roswell,GA,30076-4858,,,,,,501(c)(3),,"The National Down Syndrome Congress (NDSC) is a membership-sustained not-for-profit organization dedicated to an improved world for individuals with Down syndrome. Founded in 1973, we are the leading national resource of support and information for anyone touched by or seeking to learn about Down syndrome, from the moment of a pre-natal diagnosis through adulthood.",http://www.ndsccenter.org/,https://twitter.com/ndsc,https://www.facebook.com/thendsc,,,https://www.youtube.com/user/ndsccenter
National Down Syndrome Society,NGO,,,,,"RMR, FNICHD",666 Broadway,8th Floor,New York,NY,10012,,,,,,501(c)(3),,"The mission of the National Down Syndrome Society is to be the national advocate for the value, acceptance and inclusion of people with Down syndrome.",http://www.ndss.org/,https://twitter.com/NDSS,https://www.facebook.com/NDSS1979,https://www.linkedin.com/company/national-down-syndrome-society,,https://www.youtube.com/user/NDSSorg
National Easter Seal Society,NGO,,,,,FNICHD,"233 South Wacker Drive, Suite 2400",,Chicago,IL,60606,,,,,,501(c)(3),,"Since 1919, Easter Seals offers help, hope and answers to more than a million children and adults living with autism and other disabilities or special needs and their families each year.

Services and support are provided through a network of more than 550 sites in the U.S. and through Ability First Australia. Each center provides exceptional services that are individualized, innovative, family-focused and tailored to meet specific needs of the particular community served.",http://www.easterseals.com/,https://twitter.com/Easter_Seals,https://www.facebook.com/easterseals,https://www.linkedin.com/company/easter-seals-inc-,,https://www.youtube.com/user/easterseals1
National Ecological Observatory Network (NEON),NGO,,,,,"CNSF, COMPETES",1685 38th St,Ste 100,Boulder,CO,80301,,,,,,501(c)(3),,"NEON will gather and synthesize data over 30 years on the impacts of climate change, land use change and invasive species on natural resources and biodiversity. Obtaining integrated data on these relationships over a long-term period is crucial to improving forecast models and resource management for environmental change.",http://www.neonscience.org/,https://twitter.com/NEONInc,https://www.facebook.com/NEONInc,https://www.linkedin.com/company/neon-inc,,https://www.youtube.com/user/observatorynetwork
National Education Association,NGO,,,,,"NDD, FIES","1201 16th Street, NW ",,Washington,DC,20036-3290,,,,,,501(c)(6),,"Starting in 1857, the National Education Association brings together America’s public school educators to explore today's toughest teaching challenges—and solutions.",http://www.nea.org/,https://twitter.com/NEAToday,https://www.facebook.com/neatoday,,,https://www.youtube.com/user/NEAABS
National Electrical Manufacturers Association,NGO,,,,,InnovationP,1300 N 17th St,Ste 900,Arlington,VA,22209,,,,,,501(c)(6),,"National Electrical Manufacturers Association, the Association of Electrical Equipment and Medical Imaging Manufacturers.",http://www.nema.org/pages/default.aspx,https://twitter.com/nemaupdates,https://www.facebook.com/nemaupdates/,https://www.linkedin.com/company/nema,,https://www.youtube.com/user/NEMAVue
National Episcopal AIDS Coalition,NGO,,,,,CDCC,6628 Lebanon St ,,Cincinatti,OH,45216-1931,,,,,,501(c)(3),,NEAC continues to provide support for HIV and AIDS ministries across the Episcopal Church in the United States.,http://www.neac.org/,,https://www.facebook.com/neac.org/,,,https://www.youtube.com/user/NEACtion
National Family Planning & Reproductive Health Association,NGO,,,,,"PHF, CDCC, CHF, FNICHD, CPR",1627 K St. NW,12th Floor,Washington,DC,20006,,,,,,501(c)(3),,"The National Family Planning & Reproductive Health Association (NFPRHA) is a membership organization representing providers and administrators committed to helping people get the family planning education and care they need to make the best choices for themselves and their loved ones. NFPRHA works to enhance the ability of thousands of nurse practitioners, doctors, and other health professionals to provide high-quality family planning care through training and advocacy. ",http://www.nationalfamilyplanning.org/page.aspx?pid=326,https://twitter.com/nfprha,https://www.facebook.com/National-Family-Planning-Reproductive-Health-Association-8130364450/,https://www.linkedin.com/company/national-family-planning-&-reproductive-health-association,,https://www.youtube.com/channel/UC9efzzkITiNqsN3RgLxRcTA
National Foreign Trade Council,NGO,,,,,InnovationP,1625 K St NW,Ste 200,Washington,DC,20006,,,,,,501(c)(3),,"The National Foreign Trade Council advocates exclusively on international business issues, such as trade and tax policy.",http://www.nftc.org/?id=1,https://twitter.com/NFTC,https://www.facebook.com/National-Foreign-Trade-Council-105955409792/?ref=ts,,,
National Foundation for Celiac Awareness,NGO,,,,,DDNC,PO Box 544,,Ambler,PA,19002,,,,,,501(c)(3),,Beyond Celiac advances widespread understanding of celiac disease as a serious genetic autoimmune condition and works to secure early diagnosis and effective management.,http://www.beyondceliac.org/,https://twitter.com/beyondceliac,https://www.facebook.com/beyondceliac,https://www.linkedin.com/in/celiacdisease,,https://www.youtube.com/user/nfcaceliaccentral
National Fragile X Foundation,NGO,,,,,"FNCHS, FNICHD",2100 M St Nw Ste 170 # 302,,Washington,DC,20037-1233,,,,,,501(c)(3),,"Founded in 1984 with over 1000 due paying members, the National Fragile X Foundation unites the Fragile X community to raise awareness, lend material support to afflicted, and provide funding for research.",https://fragilex.org/,https://twitter.com/fragilexnews,https://www.facebook.com/natlfragilex,,,https://www.youtube.com/user/NFXF
National Geographic Society,NGO,,,,,USGS,"1145 17th St, NW",,Washington,DC,20090-8199,,,,,,501(c)(3),,"Since 1888, National Geographic has supported exploration and discovery, bringing gems like Machu Picchu, undersea wonders, and new species to light. They also promote and fund natural and cultural conservation projects and National Geographic supports groundbreaking scientific fieldwork and critical expeditions through grant programs and public projects.",http://nationalgeographic.org/,https://twitter.com/natgeoexplorers,https://www.facebook.com/natgeoexplorers,,,
National Grain and Feed Association,NGO,,,,,NCFAR," 1250 I St., NW",Suite 1003,Washington,DC,20005,,,,,,501(c)(6),,"Founded in 1896, the NGFA actively promotes a global free-market environment that produces an abundant, safe and high-quality supply of grain, feed, feed ingredients and other grain-based and oilseed-based products for consumers.",https://www.ngfa.org/,https://twitter.com/NGFA,https://www.facebook.com/National-Grain-and-Feed-Association-839613016133832/timeline,,,
National Ground Water Association,NGO,,,,,"CNSF, Innovation Imperative, USGS",601 Dempsey Rd,,Westerville,OH,43081,,,,,,501(c)(6),,"The National Ground Water Association (NGWA) is the leading nonprofit groundwater organization that advocates the responsible development, management and use of water. Our more than 12,000 members comprise all sectors of the industry. Since 1948.",http://www.ngwa.org/Pages/default.aspx,https://twitter.com/ngwatweets,https://www.facebook.com/NGWAFB/,,http://www.linkedin.com/groups?home=&gid=4204578&trk=anet_ug_hm,https://www.youtube.com/user/NGWATUBE
National Health Care For The Homeless Council,NGO,,,,,CDCC, 604 Gallatin Ave,#106,Nashville,TN,37206,,,,,,501(c)(3),,"The National Health Care for the Homeless Council is a network of more than 10,000 doctors, nurses, social workers, patients, and advocates who share the mission to eliminate homelessness.",https://www.nhchc.org,https://twitter.com/NatlHCHCouncil,https://www.facebook.com/NationalHCHCouncil/,http://www.linkedin.com/company/national-health-law-program,,https://www.youtube.com/user/nhchctube
National Health Council,NGO,,,,,"RMR, CDCC, FAHRQ, FNCHS",1730 M Street NW,Suite 500,Washington,DC,20036,,,,,,501(c)(3),,The National Health Council is the united voice for patients with chronic diseases and disabilities and their family caregivers,http://www.nationalhealthcouncil.org/,https://twitter.com/NHCouncil,https://www.facebook.com/nationalhealthcouncil,https://www.linkedin.com/company/national-health-council,,https://www.youtube.com/user/nhcouncil
"National Health IT Collaborative for the Underserved, Inc",Business,,,,,NIMHD,"
1629 K St NW, Ste 300",,Washington,DC,20006,,,,,,,Public/Private Partnership,"Established in 2008, the National Health IT Collaborative for the Underserved (NHIT Collaborative) contributes to the elimination of health disparities and the attainment of optimal health through the effective use of health information technology (HIT) by and for the underserved, with an emphasis on communities of color.",http://www.nhitunderserved.org/,,https://www.facebook.com/National-Health-IT-Collaborative-for-the-Underserved-261439702841/,,,
National Health Law Program,NGO,,,,,FNCHS,3701 Wilshire Blvd Ste 750,,Los Angeles,CA,90010-2816,,,,,,501(c)(3),,"Founded in 1969, the National Health Law Program protects and advances the health rights of low income and underserved individuals. The oldest non-profit of its kind, NHeLP advocates, educates and litigates at the federal and state level.",http://www.healthlaw.org/,https://twitter.com/nhelp_org,https://www.facebook.com/pages/National-Health-Law-Program-NHeLP/334163009899,,,
National Health Policy Forum,NGO,,,,,FAHRQ,2131 K St NW,#500,Washington,DC,20037,,,,,,,,"The mission of the National Health Policy Forum is to contribute to a better-informed policymaking process by providing information and opportunities for dialogue for federal health policy staff in pursuit of a high-quality health care system that improves health and is affordable, equitable, efficient, and sustainable. ",https://www.nhpf.org,https://twitter.com/NHPForum,,,,https://www.youtube.com/c/NhpfOrg_GWU
